,ticker,twin,name,exch,cat,country
830,AKO-A,x,Embotelladora Andina S.A.,NYQ,Beverages - Soft Drinks,USA
1025,AKO-B,x,Embotelladora Andina S.A.,NYQ,Beverages - Soft Drinks,USA
34713,AKOA.SG,,Embotelladora Andina S.A.,STU,,Germany
34794,AKOB.F,,Embotelladora Andina S.A.,FRA,,France
2028,BRK-A,x,Berkshire Hathaway Inc.,NYQ,Property & Casualty Insurance,USA
2036,BRK-B,x,Berkshire Hathaway Inc.,NYQ,,USA
14718,BERK34F.SA,,Berkshire Hathaway Inc.,SAO,,Brazil
14719,BERK34.SA,,Berkshire Hathaway Inc.,SAO,Property & Casualty Insurance,Brazil
21621,BRYN.F,,Berkshire Hathaway Inc.,FRA,,France
21622,BRYN.DE,,Berkshire Hathaway Inc.,FRA,,France
21626,BRH.F,,Berkshire Hathaway Inc.,FRA,,France
44291,BRKB.MX,,Berkshire Hathaway Inc.,MEX,Property & Casualty Insurance,Mexico
44589,BRH.DE,,Berkshire Hathaway Inc.,GER,,Germany
1803,BF-A,x,Brown-Forman Corporation,NYQ,,USA
2348,BF-B,x,Brown-Forman Corporation,NYQ,Beverages - Wineries & Distillers,USA
45056,BF5B.F,,Brown-Forman Corporation,FRA,,France
3549,STZ-B,,"Constellation Brands, Inc.",NYQ,,USA
21584,CB1A.F,,"Constellation Brands, Inc.",FRA,,France
98487,STZ.MX,,"Constellation Brands, Inc.",MEX,Beverages - Wineries & Distillers,Mexico
916,MOG-A,x,Moog Inc.,NYQ,Aerospace/Defense Products & Services,USA
3640,MOG-B,x,Moog Inc.,NYQ,,USA
88099,MO7A.F,,Moog Inc.,FRA,,France
3668,LEN-B,x,Lennar Corporation,NYQ,,USA
3973,LEN,x,Lennar Corporation,NYQ,Residential Construction,USA
84945,LEN.MX,,Lennar Corporation,MEX,Residential Construction,Mexico
85028,LNN.F,,Lennar Corporation,FRA,,France
3725,GEF-B,x,"Greif, Inc.",NYQ,,USA
9496,GEF,x,"Greif, Inc.",NYQ,Packaging & Containers,USA
104623,GR3.F,,"Greif, Inc.",FRA,,France
5371,RDS-A,x,Royal Dutch Shell plc,NYQ,,USA
5388,RDS-B,x,Royal Dutch Shell plc,NYQ,Major Integrated Oil & Gas,USA
5396,RDSA.L,x,Royal Dutch Shell plc,LSE,,United Kingdom
5506,RDSB.L,x,Royal Dutch Shell plc,LSE,Major Integrated Oil & Gas,United Kingdom
5719,RDSB.MX,,Royal Dutch Shell plc,MEX,Major Integrated Oil & Gas,Mexico
5720,RDSA.AS,,Royal Dutch Shell plc,AMS,Major Integrated Oil & Gas,Netherlands
5867,RDSA.MX,,Royal Dutch Shell plc,MEX,Major Integrated Oil & Gas,Mexico
5870,R6C3.DE,,Royal Dutch Shell plc,GER,Major Integrated Oil & Gas,Germany
6472,RYDBF,x,Royal Dutch Shell plc,PNK,,USA
6473,RYDAF,x,Royal Dutch Shell plc,PNK,,USA
6494,RDSB.AS,,Royal Dutch Shell plc,AMS,Major Integrated Oil & Gas,Netherlands
6504,R6C3.F,,Royal Dutch Shell plc,FRA,Major Integrated Oil & Gas,France
6506,R6C1.DE,,Royal Dutch Shell plc,GER,Major Integrated Oil & Gas,Germany
6508,R6C.DE,,Royal Dutch Shell plc,GER,Major Integrated Oil & Gas,Germany
30264,R6C2.F,,Royal Dutch Shell plc,FRA,Major Integrated Oil & Gas,France
31226,R6C1.F,,Royal Dutch Shell plc,FRA,Major Integrated Oil & Gas,France
62414,RDSA.SW,,Royal Dutch Shell plc,EBS,,Switzerland
62460,R6C2.DE,,Royal Dutch Shell plc,GER,Major Integrated Oil & Gas,Germany
62464,0LN9.L,,Royal Dutch Shell plc,LSE,,United Kingdom
62470,R6C.F,,Royal Dutch Shell plc,FRA,Major Integrated Oil & Gas,France
2299,EBR,,Centrais Elétricas Brasileiras S.A. - Eletrobras,NYQ,Electric Utilities,USA
8100,ELET3.SA,,Centrais Elétricas Brasileiras S.A. - Eletrobras,SAO,Electric Utilities,Brazil
8141,EBR-B,,Centrais Elétricas Brasileiras S.A. - Eletrobras,NYQ,,USA
30111,L3XB.F,x,Centrais Elétricas Brasileiras S.A. - Eletrobras,FRA,,France
31085,L3XC.F,x,Centrais Elétricas Brasileiras S.A. - Eletrobras,FRA,,France
50656,ELET6.SA,,Centrais Elétricas Brasileiras S.A. - Eletrobras,SAO,Electric Utilities,Brazil
54592,ELET5.SA,,Centrais Elétricas Brasileiras S.A. - Eletrobras,SAO,Electric Utilities,Brazil
64019,L3X.F,,Centrais Elétricas Brasileiras S.A. - Eletrobras,FRA,,France
64388,L3XA.F,,Centrais Elétricas Brasileiras S.A. - Eletrobras,FRA,,France
8624,FCE-A,x,"Forest City Realty Trust, Inc",NYQ,Property Management,USA
9218,FCE-B,x,"Forest City Realty Trust, Inc",NYQ,,USA
5345,JW-A,x,"John Wiley & Sons, Inc.",NYQ,Publishing - Books,USA
12141,JW-B,x,"John Wiley & Sons, Inc.",NYQ,,USA
20239,CRD-B,x,Crawford & Company,NYQ,Insurance Brokers,USA
20285,CRD-A,x,Crawford & Company,NYQ,,USA
11602,WSO,x,"Watsco, Inc.",NYQ,Electronics Wholesale,USA
22986,WSO-B,x,"Watsco, Inc.",NYQ,,USA
23577,WC3.F,,"Watsco, Inc.",FRA,,France
2145,BIO,x,"Bio-Rad Laboratories, Inc.",NYQ,Medical Laboratories & Research,USA
47002,BIO-B,x,"Bio-Rad Laboratories, Inc.",NYQ,,USA
47124,BUWA.F,,"Bio-Rad Laboratories, Inc.",FRA,,France
1096,ATD-B.TO,x,Alimentation Couche-Tard Inc.,TOR,Grocery Stores,Canada
1244,ATD-A.TO,x,Alimentation Couche-Tard Inc.,TOR,Grocery Stores,Canada
34816,ANCUF,,Alimentation Couche-Tard Inc.,PNK,,USA
35131,ANCTF,,Alimentation Couche-Tard Inc.,PNK,,USA
35455,CJA.F,,Alimentation Couche-Tard Inc.,FRA,,France
977,VOLVY,,AB Volvo (publ),PNK,,USA
1135,VOLV-B.ST,x,AB Volvo (publ),STO,Trucks & Other Vehicles,Sweden
21868,VOLV-A.ST,x,AB Volvo (publ),STO,Trucks & Other Vehicles,Sweden
22846,VOLAF,,AB Volvo (publ),PNK,,USA
28667,0HTP.L,,AB Volvo (publ),LSE,,United Kingdom
28784,VOLVF,,AB Volvo (publ),PNK,,USA
28853,VLVLY,,AB Volvo (publ),PNK,,USA
29082,0MHW.L,,AB Volvo (publ),LSE,,United Kingdom
102159,VOLVB.ST,,AB Volvo (publ),STO,,Sweden
102186,VOL1.F,x,AB Volvo (publ),FRA,,France
102187,VOL3.F,x,AB Volvo (publ),FRA,,France
1141,TRZ-B.TO,x,"Transat AT, Inc.",TOR,,Canada
40168,TRZ-A.TO,x,"Transat AT, Inc.",TOR,,Canada
1175,LUND-B.ST,,L E Lundbergföretagen AB (publ),STO,Asset Management,Sweden
28484,0GWB.L,,L E Lundbergföretagen AB (publ),LSE,,United Kingdom
1223,CLAS-B.ST,,Clas Ohlson AB (publ),STO,"Specialty Retail, Other",Sweden
29186,0GQE.L,,Clas Ohlson AB (publ),LSE,,United Kingdom
1227,CARL-B.CO,x,Carlsberg A/S,CPH,,Denmark
53016,CBGA.F,,Carlsberg A/S,FRA,,France
53052,CABGY,,Carlsberg A/S,PNK,,USA
53179,CARLB.SW,,Carlsberg A/S,EBS,,Switzerland
53482,CBGB.F,,Carlsberg A/S,FRA,,France
61473,CARL-A.CO,x,Carlsberg A/S,CPH,,Denmark
61559,0AI4.L,,Carlsberg A/S,LSE,,United Kingdom
103138,CABJF,,Carlsberg A/S,PNK,,USA
1233,BBTO-B.ST,,B&B Tools AB (publ),STO,,Sweden
1298,XANO-B.ST,,XANO Industri AB (publ),STO,Diversified Machinery,Sweden
1374,KINV-B.ST,x,Kinnevik AB,STO,,Sweden
28938,KINNF,,Kinnevik AB,PNK,,USA
29067,0JAA.L,,Kinnevik AB,LSE,,United Kingdom
79998,IV6B.F,,Kinnevik AB,,,
81976,KINV-A.ST,x,Kinnevik AB,STO,,Sweden
1427,BEIJ-B.ST,,Beijer Ref AB (publ),STO,Diversified Machinery,Sweden
28710,0MWH.L,,Beijer Ref AB (publ),LSE,,United Kingdom
1490,AKT-B.TO,x,AKITA Drilling Ltd.,TOR,Oil & Gas Drilling & Exploration,Canada
6231,AKTAF,,AKITA Drilling Ltd.,PNK,,USA
6232,AKT-A.TO,x,AKITA Drilling Ltd.,TOR,Oil & Gas Drilling & Exploration,Canada
1502,AGF-B.TO,,AGF Management Limited,TOR,Asset Management,Canada
32044,AGFMF,,AGF Management Limited,PNK,,USA
33422,A3J.F,,AGF Management Limited,FRA,,France
1541,VBG-B.ST,,VBG Group AB (publ),STO,Auto Parts,Sweden
1575,SKBSY,,Skanska AB (publ),PNK,,USA
1576,SKA-B.ST,,Skanska AB (publ),STO,General Contractors,Sweden
28720,SKSBF,,Skanska AB (publ),PNK,,USA
29168,0HBT.L,,Skanska AB (publ),LSE,,United Kingdom
96254,SKNB.F,,Skanska AB (publ),FRA,,France
96255,SKAB.ST,,Skanska AB (publ),STO,,Sweden
1589,SAAB-B.ST,,Saab AB (publ),STO,Aerospace/Defense - Major Diversified,Sweden
28328,SAABF,,Saab AB (publ),PNK,,USA
28416,0GWL.L,,Saab AB (publ),LSE,,United Kingdom
96207,SDV.F,,Saab AB (publ),FRA,,France
1646,NIBE-B.ST,,NIBE Industrier AB (publ),STO,,Sweden
